INFO:__main__:🚀 Бот запускается...
INFO:__main__:✅ База данных инициализирована
INFO:bot.api:✅ API routes настроены
INFO:aiogram.dispatcher:Start polling
INFO:__main__:🌐 Веб-сервер запущен на порту 8080
INFO:aiogram.dispatcher:Run polling for bot @cloaknetvbot id=8287902513 - 'CloakNet чат-Bot'
INFO:aiohttp.access:127.0.0.1 [15/Mar/2026:04:52:18 +0000] "GET /application.properties HTTP/1.0" 404 174 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36"
INFO:aiohttp.access:127.0.0.1 [15/Mar/2026:04:52:19 +0000] "GET /app/config/parameters.yml HTTP/1.0" 404 174 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36"
INFO:aiohttp.access:162.251.164.114 [15/Mar/2026:04:55:02 +0000] "GET /login HTTP/1.1" 404 174 "-" "Go-http-client/1.1"
INFO:aiohttp.access:127.0.0.1 [15/Mar/2026:05:00:35 +0000] "GET /miniapp HTTP/1.0" 200 31884 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
INFO:aiohttp.access:147.185.132.213 [15/Mar/2026:05:18:23 +0000] "GET / HTTP/1.0" 404 174 "-" "Hello from Palo Alto Networks, find out more about our scans in https://docs-cortex.paloaltonetworks.com/r/1/Cortex-Xpanse/Scanning-activity"
INFO:aiogram.event:Update id=406095028 is handled. Duration 60 ms by bot id=8287902513
INFO:aiohttp.access:127.0.0.1 [15/Mar/2026:05:44:33 +0000] "GET /miniapp HTTP/1.0" 200 31884 "-" "Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.7632.159 Mobile Safari/537.36 Telegram-Android/12.5.1 (Tecno TECNO CM7; Android 15; SDK 35; HIGH)"
INFO:aiohttp.access:127.0.0.1 [15/Mar/2026:05:44:34 +0000] "GET /api/user?telegram_id=2056591682 HTTP/1.0" 200 662 "https://test.cloaknet.site/miniapp" "Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.7632.159 Mobile Safari/537.36 Telegram-Android/12.5.1 (Tecno TECNO CM7; Android 15; SDK 35; HIGH)"
INFO:httpx:HTTP Request: DELETE https://pal.goodred.pro/api/users/47135725-e14c-4b8e-9eda-f75e8f640e3d "HTTP/1.1 200 OK"
INFO:aiohttp.access:127.0.0.1 [15/Mar/2026:05:44:46 +0000] "POST /api/subscription/delete HTTP/1.0" 200 190 "https://test.cloaknet.site/miniapp" "Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.7632.159 Mobile Safari/537.36 Telegram-Android/12.5.1 (Tecno TECNO CM7; Android 15; SDK 35; HIGH)"
INFO:aiohttp.access:127.0.0.1 [15/Mar/2026:05:44:46 +0000] "GET /api/user?telegram_id=2056591682 HTTP/1.0" 200 364 "https://test.cloaknet.site/miniapp" "Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.7632.159 Mobile Safari/537.36 Telegram-Android/12.5.1 (Tecno TECNO CM7; Android 15; SDK 35; HIGH)"
INFO:aiogram.event:Update id=406095029 is handled. Duration 36 ms by bot id=8287902513
INFO:aiohttp.access:127.0.0.1 [15/Mar/2026:05:45:17 +0000] "GET /miniapp HTTP/1.0" 200 31884 "-" "Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.7632.159 Mobile Safari/537.36 Telegram-Android/12.5.1 (Tecno TECNO CM7; Android 15; SDK 35; HIGH)"
INFO:aiohttp.access:127.0.0.1 [15/Mar/2026:05:45:17 +0000] "GET /api/user?telegram_id=2056591682 HTTP/1.0" 200 364 "https://test.cloaknet.site/miniapp" "Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.7632.159 Mobile Safari/537.36 Telegram-Android/12.5.1 (Tecno TECNO CM7; Android 15; SDK 35; HIGH)"
INFO:aiohttp.access:127.0.0.1 [15/Mar/2026:05:48:03 +0000] "GET /miniapp HTTP/1.0" 200 31884 "-" "Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.7632.159 Mobile Safari/537.36 Telegram-Android/12.5.1 (Tecno TECNO CM7; Android 15; SDK 35; HIGH)"
INFO:aiohttp.access:127.0.0.1 [15/Mar/2026:05:48:03 +0000] "GET /api/user?telegram_id=2056591682 HTTP/1.0" 200 364 "https://test.cloaknet.site/miniapp" "Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.7632.159 Mobile Safari/537.36 Telegram-Android/12.5.1 (Tecno TECNO CM7; Android 15; SDK 35; HIGH)"
